SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Condo/Co-op,1811 Camino Leonor,SAN JOSE,CA,95131,698000,1,1.5,SAN JOSE,1415,,2006,30,493,365,Active,,,http://www.redfin.com/CA/San-Jose/1811-Camino-Leonor-95131/home/12179872,MLSListings,ML81785649,N,Y,37.3903189,-121.8896074
MLS Listing,,Townhouse,1240 Whitfield Ct,SAN JOSE,CA,95131,849888,4,1.5,SAN JOSE,1452,1558,1977,33,585,280,Active,,,http://www.redfin.com/CA/San-Jose/1240-Whitfield-Ct-95131/home/693124,MLSListings,ML81783916,Y,Y,37.381071,-121.870508
MLS Listing,,Single Family Residential,1956 Hostetter Rd,SAN JOSE,CA,95131,875000,3,2.0,SAN JOSE,1041,6113,1974,38,841,,Active,,,http://www.redfin.com/CA/San-Jose/1956-Hostetter-Rd-95131/home/692542,MLSListings,ML81784437,N,Y,37.3891622,-121.8802979
MLS Listing,,Single Family Residential,1843 Poetry Dr,SAN JOSE,CA,95131,1750000,4,2.5,SAN JOSE,2358,4333,1997,41,742,,Active,,,http://www.redfin.com/CA/San-Jose/1843-Poetry-Dr-95131/home/1260533,MLSListings,ML81783968,N,Y,37.4013287,-121.8804313
MLS Listing,,Mobile/Manufactured Home,2151 OAKLAND Rd #589,SAN JOSE,CA,95131,349000,4,3.0,SAN JOSE,1440,,1973,44,242,,Active,,,http://www.redfin.com/CA/San-Jose/2151-Oakland-Rd-95131/unit-589/home/170620756,MLSListings,ML81783637,N,Y,37.3962328,-121.9053495
MLS Listing,,Mobile/Manufactured Home,2151 Oakland Rd #79,SAN JOSE,CA,95131,258000,3,2.0,SAN JOSE,1440,,2018,79,179,,Active,,,http://www.redfin.com/CA/San-Jose/2151-Oakland-Rd-95131/unit-79/home/146878473,MLSListings,ML81779445,N,Y,37.3962328,-121.9053495
MLS Listing,,Mobile/Manufactured Home,2151 Oakland Rd #154,SAN JOSE,CA,95131,259900,3,2.0,SAN JOSE,1180,,2000,127,220,,Active,,,http://www.redfin.com/CA/San-Jose/2151-Oakland-Rd-95131/unit-154/home/63741481,MLSListings,ML81776467,N,Y,37.3962328,-121.9053495
MLS Listing,,Mobile/Manufactured Home,,San Jose,CA,95131,299999,4,2.0,San Jose,1568,,,161,191,,Active,,,http://www.redfin.com/CA/San-Jose/Undisclosed-address-95131/home/685237,Bridge MLS,40887274,N,Y,37.3962328,-121.9053495
MLS Listing,,Mobile/Manufactured Home,2151 Oakland Rd #85,SAN JOSE,CA,95131,139888,2,2.0,SAN JOSE,1100,,1973,197,127,,Active,,,http://www.redfin.com/CA/San-Jose/2151-Oakland-Rd-95131/unit-85/home/63741869,MLSListings,ML81769584,N,Y,37.3962328,-121.9053495
MLS Listing,,Mobile/Manufactured Home,2151 Oakland Rd #302,SAN JOSE,CA,95131,300000,3,2.0,SAN JOSE,1562,,2016,240,192,,Active,,,http://www.redfin.com/CA/San-Jose/2151-Oakland-Rd-95131/unit-302/home/63741473,MLSListings,ML81764033,N,Y,37.3962328,-121.9053495
MLS Listing,,Mobile/Manufactured Home,2151 Oakland Rd #297,SAN JOSE,CA,95131,99900,2,2.0,SAN JOSE,924,,1978,313,108,,Active,,,http://www.redfin.com/CA/San-Jose/2151-Oakland-Rd-95131/unit-297/home/686848,MLSListings,ML81753853,N,Y,37.3962328,-121.9053495
New Construction Home,,Single Family Residential,1787 Clove Ct,San Jose,CA,95131,1480000,4,3.5,Sun Araujo Villas,,,2020,36,,,Active,,,http://www.redfin.com/CA/San-Jose/1787-Clove-Dr-95128/home/168873493,NewHomeSource.com,1832822,N,Y,37.379071,-121.881274
New Construction Plan,,Single Family Residential,Plan C,San Jose,CA,95131,1480000,4,3.5,Sun Araujo Villas,2114,,,,700,,Active,,,http://www.redfin.com/CA/San-Jose/Sun-Araujo-Villas/Plan-C/home/170896403,NewHomeSource.com,Plan-121777514,N,Y,37.3793285,-121.8812392
New Construction Plan,,Single Family Residential,Plan A,San Jose,CA,95131,1435000,4,4.0,Sun Araujo Villas,1951,,,,736,,Active,,,http://www.redfin.com/CA/San-Jose/Sun-Araujo-Villas/Plan-A/home/170896405,NewHomeSource.com,Plan-111777508,N,Y,37.3793285,-121.8812392
